City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
228,aljezur,37.3191,-8.8033,288.59,85,3,1.61,PT,1684988613,15.439999999999998,5.796
229,jamestown,42.097,-79.2353,281.88,76,0,2.57,US,1684988093,8.730000000000018,9.251999999999999
230,crotone,39.0851,17.1178,289.92,65,9,1.49,IT,1684988613,16.77000000000004,5.364
231,chul'man,56.8479,124.9104,285.07,42,58,2.66,RU,1684988614,11.920000000000016,9.576
232,gadzhiyevo,69.2551,33.3362,284.39,66,100,8.02,RU,1684988278,11.240000000000009,28.872
233,carnarvon,-24.8667,113.6333,297.35,46,100,8.21,AU,1684988348,24.200000000000045,29.556000000000004
234,ak-suu,42.4995,78.527,283.03,66,61,2.29,KG,1684988615,9.879999999999995,8.244
235,brookings,44.3114,-96.7984,294.36,44,0,6.69,US,1684988217,21.210000000000036,24.084000000000003
236,entebbe,0.0644,32.4469,295.05,77,52,2.09,UG,1684988615,21.900000000000034,7.524
237,st. john's,47.5649,-52.7093,278.13,86,0,6.17,CA,1684988042,4.980000000000018,22.212
238,haenam,34.5711,126.5989,294.45,44,7,5.21,KR,1684988617,21.30000000000001,18.756
239,talnakh,69.4865,88.3972,273.82,90,100,2.26,RU,1684988270,0.6700000000000159,8.136
240,praia da vitoria,38.7333,-27.0667,290.29,82,75,4.74,PT,1684988617,17.140000000000043,17.064
241,sao joaquim,-28.2939,-49.9317,281.66,95,0,1.45,BR,1684988618,8.510000000000048,5.22
242,koryazhma,61.3143,47.1691,289.78,91,100,3.9,RU,1684988618,16.629999999999995,14.04
243,moyamba,8.1667,-12.4333,296.33,98,100,1.04,SL,1684988618,23.180000000000007,3.744
244,bulgan,48.8125,103.5347,281.32,41,100,4.84,MN,1684988619,8.170000000000016,17.424
245,northam,51.0333,-4.2167,283.37,92,0,1.83,GB,1684988251,10.220000000000027,6.588
246,saint-philippe,-21.3585,55.7679,295.92,90,100,4.27,RE,1684988292,22.77000000000004,15.371999999999998
247,geraldton,-28.7667,114.6,292.38,42,0,9.77,AU,1684988309,19.230000000000018,35.172
248,meadow lakes,61.6247,-149.6011,289.08,49,20,1.79,US,1684988620,15.930000000000007,6.444
249,korsakov,46.6328,142.7813,294.06,67,8,6.58,RU,1684988621,20.910000000000025,23.688000000000002
250,polyarnyy,69.1989,33.4478,284.44,66,100,7.68,RU,1684988212,11.29000000000002,27.648
251,kasongo-lunda,-6.4667,16.8167,294.96,81,58,0.3,CD,1684988621,21.810000000000002,1.08
252,port augusta,-32.5,137.7667,291.67,60,100,8.47,AU,1684988238,18.52000000000004,30.492000000000004
253,irkutsk,52.2978,104.2964,279.58,61,75,9.0,RU,1684988391,6.430000000000007,32.4
254,inhambane,-23.865,35.3833,294.14,83,40,3.09,MZ,1684988252,20.99000000000001,11.124
255,san angelo,31.4638,-100.437,294.56,77,0,3.6,US,1684988622,21.410000000000025,12.96
256,bengkulu,-3.8004,102.2655,302.76,66,11,3.1,ID,1684988248,29.610000000000014,11.16
257,road town,18.4167,-64.6167,300.58,76,67,5.74,VG,1684988386,27.430000000000007,20.664
258,karonga,-9.9333,33.9333,293.48,81,7,1.79,MW,1684988623,20.33000000000004,6.444
259,basco,20.4487,121.9702,300.91,76,9,3.51,PH,1684988623,27.760000000000048,12.636
260,uliastay,47.7417,96.8444,278.48,78,98,2.11,MN,1684988624,5.330000000000041,7.596
261,hudiksvall,61.729,17.1036,281.93,58,100,2.59,SE,1684988399,8.78000000000003,9.324
262,aginskoye,51.1,114.53,284.47,26,100,8.34,RU,1684988624,11.32000000000005,30.024
263,liaocheng,36.4439,115.9647,293.48,59,100,7.57,CN,1684988625,20.33000000000004,27.252000000000002
264,swakopmund,-22.6833,14.5333,286.47,89,7,0.89,NA,1684988625,13.32000000000005,3.204
